#{"t_start": 1752071925.1105666, "env_id": "None"}
r,l,t
75.40495,100,7.015246
75.82477,100,12.815354
76.89159,100,18.62276
76.07143,100,24.424935
76.44824,100,30.215278
76.63187,100,36.088278
75.89045,100,41.876291
76.543625,100,47.695005
76.56978,100,53.569907
76.149536,100,59.413244
76.35237,100,65.215884
76.78305,100,70.994651
76.255516,100,76.836284
76.18826,100,82.651054
76.19131,100,88.532577
76.445946,100,94.326207
76.0219,100,100.133797
76.461105,100,105.971925
76.3566,100,111.834204
76.304146,100,117.722452
75.9921,100,123.568417
76.078,100,129.42989
76.15583,100,135.227108
75.75619,100,141.054043
76.24497,100,146.874203
76.65073,100,152.735487
76.30496,100,158.583203
